"","ST","F_DH","F_SDH","F_CHC_R","F_PHC_R","OBGY_CHC_R_S","OBGY_CHC_R_P","SUR_CHC_R_S","SUR_CHC_R_P","PAED_CHC_R_S","PAED_CHC_R_P","PHY_CHC_R_S","PHY_CHC_R_P","DOC_PHC_R_S","DOC_PHC_R_P","GDMO_AL_CHC_R_S","GDMO_AL_CHC_R_P","DOC_DH_S","DOC_DH_P","DOC_SDH_S","DOC_SDH_P","NURSE_CHC_R_S","NURSE_CHC_R_P","NURSE_PHC_R_S","NURSE_PHC_R_P","OBGY_CHC_R_WISN","SUR_CHC_R_WISN","PAED_CHC_R_WISN","PHY_CHC_R_WISN","DOC_PHC_R_WISN","GDMO_AL_CHC_R_WISN","NURSE_CHC_R_WISN","NURSE_PHC_R_WISN","OBGY_CHC_R_WISN_Lower","SUR_CHC_R_WISN_Lower","PAED_CHC_R_WISN_Lower","PHY_CHC_R_WISN_Lower","DOC_PHC_R_WISN_Lower","GDMO_AL_CHC_R_WISN_Lower","NURSE_CHC_R_WISN_Lower","NURSE_PHC_R_WISN_Lower","OBGY_CHC_R_WISN_Upper","SUR_CHC_R_WISN_Upper","PAED_CHC_R_WISN_Upper","PHY_CHC_R_WISN_Upper","DOC_PHC_R_WISN_Upper","GDMO_AL_CHC_R_WISN_Upper","NURSE_CHC_R_WISN_Upper","NURSE_PHC_R_WISN_Upper","OBGY_CHC_R_P_WISN_diff","OBGY_CHC_R_P_WISN_ratio","OBGY_CHC_R_S_WISN_diff","OBGY_CHC_R_P_WISN_diff_per_centre","OBGY_CHC_R_S_WISN_diff_per_centre","SUR_CHC_R_P_WISN_diff","SUR_CHC_R_P_WISN_ratio","SUR_CHC_R_S_WISN_diff","SUR_CHC_R_P_WISN_diff_per_centre","SUR_CHC_R_S_WISN_diff_per_centre","PAED_CHC_R_P_WISN_diff","PAED_CHC_R_P_WISN_ratio","PAED_CHC_R_S_WISN_diff","PAED_CHC_R_P_WISN_diff_per_centre","PAED_CHC_R_S_WISN_diff_per_centre","PHY_CHC_R_P_WISN_diff","PHY_CHC_R_P_WISN_ratio","PHY_CHC_R_S_WISN_diff","PHY_CHC_R_P_WISN_diff_per_centre","PHY_CHC_R_S_WISN_diff_per_centre","DOC_PHC_R_P_WISN_diff","DOC_PHC_R_P_WISN_ratio","DOC_PHC_R_S_WISN_diff","DOC_PHC_R_P_WISN_diff_per_centre","DOC_PHC_R_S_WISN_diff_per_centre","GDMO_AL_CHC_R_P_WISN_diff","GDMO_AL_CHC_R_P_WISN_ratio","GDMO_AL_CHC_R_S_WISN_diff","GDMO_AL_CHC_R_P_WISN_diff_per_centre","GDMO_AL_CHC_R_S_WISN_diff_per_centre","NURSE_CHC_R_P_WISN_diff","NURSE_CHC_R_P_WISN_ratio","NURSE_CHC_R_S_WISN_diff","NURSE_CHC_R_P_WISN_diff_per_centre","NURSE_CHC_R_S_WISN_diff_per_centre","NURSE_PHC_R_P_WISN_diff","NURSE_PHC_R_P_WISN_ratio","NURSE_PHC_R_S_WISN_diff","NURSE_PHC_R_P_WISN_diff_per_centre","NURSE_PHC_R_S_WISN_diff_per_centre","OBGY_CHC_R_P_WISN_diff_workforce_problem","OBGY_CHC_R_P_WISN_diff_per_centre_workforce_problem","SUR_CHC_R_P_WISN_diff_workforce_problem","SUR_CHC_R_P_WISN_diff_per_centre_workforce_problem","PAED_CHC_R_P_WISN_diff_workforce_problem","PAED_CHC_R_P_WISN_diff_per_centre_workforce_problem","PHY_CHC_R_P_WISN_diff_workforce_problem","PHY_CHC_R_P_WISN_diff_per_centre_workforce_problem","DOC_PHC_R_P_WISN_diff_workforce_problem","DOC_PHC_R_P_WISN_diff_per_centre_workforce_problem","GDMO_AL_CHC_R_P_WISN_diff_workforce_problem","GDMO_AL_CHC_R_P_WISN_diff_per_centre_workforce_problem","NURSE_CHC_R_P_WISN_diff_workforce_problem","NURSE_CHC_R_P_WISN_diff_per_centre_workforce_problem","NURSE_PHC_R_P_WISN_diff_workforce_problem","NURSE_PHC_R_P_WISN_diff_per_centre_workforce_problem","OBGY_CHC_R_P_WISN_ratio_workforce_pressure","SUR_CHC_R_P_WISN_ratio_workforce_pressure","PAED_CHC_R_P_WISN_ratio_workforce_pressure","PHY_CHC_R_P_WISN_ratio_workforce_pressure","DOC_PHC_R_P_WISN_ratio_workforce_pressure","GDMO_AL_CHC_R_P_WISN_ratio_workforce_pressure","NURSE_CHC_R_P_WISN_ratio_workforce_pressure","NURSE_PHC_R_P_WISN_ratio_workforce_pressure","OBGY_CHC_R_S_WISN_diff_sanctioning_problem","OBGY_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","SUR_CHC_R_S_WISN_diff_sanctioning_problem","SUR_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","PAED_CHC_R_S_WISN_diff_sanctioning_problem","PAED_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","PHY_CHC_R_S_WISN_diff_sanctioning_problem","PHY_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","DOC_PHC_R_S_WISN_diff_sanctioning_problem","DOC_PHC_R_S_WISN_diff_per_centre_sanctioning_problem","GDMO_AL_CHC_R_S_WISN_diff_sanctioning_problem","GDMO_AL_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","NURSE_CHC_R_S_WISN_diff_sanctioning_problem","NURSE_CHC_R_S_WISN_diff_per_centre_sanctioning_problem","NURSE_PHC_R_S_WISN_diff_sanctioning_problem","NURSE_PHC_R_S_WISN_diff_per_centre_sanctioning_problem"
"14","Madhya Pradesh",51,84,309,1039,309,30,309,27,309,22,309,25,2024,1053,2373,588,3540,1676,3149,515,3953,2202,1705,614,618,618,618,618,2078,1236,13905,15585,309,618,618,618,2078,927,12978,13507,618,618,618,618,3117,1236,15141,16624,-588,0.0485436893203883,-309,-1.90291262135922,-1,-591,0.0436893203883495,-309,-1.9126213592233,-1,-596,0.0355987055016181,-309,-1.92880258899676,-1,-593,0.040453074433657,-309,-1.91909385113269,-1,-1025,0.506737247353224,-54,-0.986525505293552,-0.0519730510105871,-648,0.475728155339806,1137,-2.09708737864078,3.67961165048544,-11703,0.158360302049622,-9952,-37.873786407767,-32.2071197411003,-14971,0.0393968559512352,-13880,-14.4090471607315,-13.3589990375361,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","High","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"15","Maharashtra",23,91,364,1349,244,211,202,29,224,200,153,45,3189,2951,512,486,1292,875,1362,1348,2124,2016,833,682,728,728,728,728,2698,1456,16380,20235,364,728,728,728,2698,1092,15288,17537,728,728,728,728,4047,1456,17836,21584,-517,0.289835164835165,-484,-1.42032967032967,-1.32967032967033,-699,0.0398351648351648,-526,-1.92032967032967,-1.44505494505495,-528,0.274725274725275,-504,-1.45054945054945,-1.38461538461538,-683,0.0618131868131868,-575,-1.87637362637363,-1.57967032967033,253,1.09377316530764,491,0.187546330615271,0.363973313565604,-970,0.333791208791209,-944,-2.66483516483516,-2.59340659340659,-14364,0.123076923076923,-14256,-39.4615384615385,-39.1648351648352,-19553,0.0337039782554979,-19402,-14.4944403261675,-14.3825055596738,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","High","Very High","High","Very High","None","High","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"16","Manipur",8,1,23,85,1,0,0,0,2,2,1,1,238,208,97,93,271,230,17,10,229,222,255,208,46,46,46,46,170,92,1035,1275,23,46,46,46,170,69,966,1105,46,46,46,46,255,92,1127,1360,-46,0,-45,-2,-1.95652173913043,-46,0,-46,-2,-2,-44,0.0434782608695652,-44,-1.91304347826087,-1.91304347826087,-45,0.0217391304347826,-45,-1.95652173913043,-1.95652173913043,38,1.22352941176471,68,0.447058823529412,0.8,1,1.01086956521739,5,0.0434782608695652,0.217391304347826,-813,0.214492753623188,-806,-35.3478260869565,-35.0434782608696,-1067,0.163137254901961,-1020,-12.5529411764706,-12,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","None","None","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"17","Meghalaya",11,0,28,110,NA,2,0,0,NA,0,NA,2,NA,149,NA,86,266,309,NA,NA,NA,378,NA,373,56,56,56,56,220,112,1260,1650,28,56,56,56,220,84,1176,1430,56,56,56,56,330,112,1372,1760,-54,0.0357142857142857,NA,-1.92857142857143,NA,-56,0,-56,-2,-2,-56,0,NA,-2,NA,-54,0.0357142857142857,NA,-1.92857142857143,NA,-71,0.677272727272727,NA,-0.645454545454546,NA,-26,0.767857142857143,NA,-0.928571428571429,NA,-882,0.3,NA,-31.5,NA,-1277,0.226060606060606,NA,-11.6090909090909,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","Low","High","Very High",NA,NA,"Under sanctioning","Under sanctioning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Mizoram",9,2,9,57,NA,0,NA,0,NA,0,NA,0,NA,60,NA,15,NA,201,NA,31,NA,51,NA,154,18,18,18,18,114,36,405,855,9,18,18,18,114,27,378,741,18,18,18,18,171,36,441,912,-18,0,NA,-2,NA,-18,0,NA,-2,NA,-18,0,NA,-2,NA,-18,0,NA,-2,NA,-54,0.526315789473684,NA,-0.947368421052632,NA,-21,0.416666666666667,NA,-2.33333333333333,NA,-354,0.125925925925926,NA,-39.3333333333333,NA,-701,0.180116959064327,NA,-12.2982456140351,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","High","Very High","Very High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Nagaland",11,0,21,124,NA,1,NA,3,NA,1,NA,3,131,133,35,33,83,176,NA,NA,191,191,NA,190,42,42,42,42,248,84,945,1860,21,42,42,42,248,63,882,1612,42,42,42,42,372,84,1029,1984,-41,0.0238095238095238,NA,-1.95238095238095,NA,-39,0.0714285714285714,NA,-1.85714285714286,NA,-41,0.0238095238095238,NA,-1.95238095238095,NA,-39,0.0714285714285714,NA,-1.85714285714286,NA,-115,0.536290322580645,-117,-0.92741935483871,-0.943548387096774,-51,0.392857142857143,-49,-2.42857142857143,-2.33333333333333,-754,0.202116402116402,-754,-35.9047619047619,-35.9047619047619,-1670,0.102150537634409,NA,-13.4677419354839,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","High","Very High","Very High",NA,NA,NA,NA,NA,NA,NA,NA,"Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning",NA,NA
"20","Odisha",32,33,377,461,383,117,382,34,382,51,382,34,1346,813,405,1079,1243,1331,567,293,1185,2093,292,475,754,754,754,754,922,1508,16965,6915,377,754,754,754,922,1131,15834,5993,754,754,754,754,1383,1508,18473,7376,-637,0.155172413793103,-371,-1.68965517241379,-0.984084880636605,-720,0.0450928381962865,-372,-1.90981432360743,-0.986737400530504,-703,0.0676392572944297,-372,-1.86472148541114,-0.986737400530504,-720,0.0450928381962865,-372,-1.90981432360743,-0.986737400530504,-109,0.88177874186551,424,-0.23644251626898,0.919739696312364,-429,0.71551724137931,-1103,-1.13793103448276,-2.92572944297082,-14872,0.123371647509579,-15780,-39.448275862069,-41.8567639257294,-6440,0.0686912509038323,-6623,-13.9696312364425,-14.3665943600868,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Low","Medium","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"21","Punjab",22,41,89,79,123,25,111,32,150,19,112,17,575,562,224,360,917,761,852,595,889,923,1111,883,178,178,178,178,158,356,4005,1185,89,178,178,178,158,267,3738,1027,178,178,178,178,237,356,4361,1264,-153,0.140449438202247,-55,-1.71910112359551,-0.617977528089888,-146,0.179775280898876,-67,-1.64044943820225,-0.752808988764045,-159,0.106741573033708,-28,-1.78651685393258,-0.314606741573034,-161,0.0955056179775281,-66,-1.80898876404494,-0.741573033707865,404,3.55696202531646,417,5.11392405063291,5.27848101265823,4,1.01123595505618,-132,0.0449438202247191,-1.48314606741573,-3082,0.230461922596754,-3116,-34.6292134831461,-35.0112359550562,-302,0.745147679324895,-74,-3.82278481012658,-0.936708860759494,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","None","None","Very High","Medium","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"22","Rajasthan",27,20,571,1777,276,105,495,105,241,111,422,134,2268,1932,1767,1399,1624,1210,605,439,6507,5186,4805,3703,1142,1142,1142,1142,3554,2284,25695,26655,571,1142,1142,1142,3554,1713,23982,23101,1142,1142,1142,1142,5331,2284,27979,28432,-1037,0.0919439579684764,-866,-1.81611208406305,-1.51663747810858,-1037,0.0919439579684764,-647,-1.81611208406305,-1.13309982486865,-1031,0.0971978984238179,-901,-1.80560420315236,-1.57793345008757,-1008,0.117338003502627,-720,-1.76532399299475,-1.26094570928196,-1622,0.543612830613393,-1286,-0.912774338773213,-0.723691615081598,-885,0.612521891418564,-517,-1.54991243432574,-0.905429071803853,-20509,0.201829149640008,-19188,-35.9176882661996,-33.6042031523643,-22952,0.138923278934534,-21850,-12.916150815982,-12.2960045019696,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","Medium","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"23","Sikkim",4,0,2,24,NA,0,NA,0,NA,0,NA,0,NA,41,NA,4,NA,116,NA,NA,NA,21,NA,52,4,4,4,4,48,8,90,360,2,4,4,4,48,6,84,312,4,4,4,4,72,8,98,384,-4,0,NA,-2,NA,-4,0,NA,-2,NA,-4,0,NA,-2,NA,-4,0,NA,-2,NA,-7,0.854166666666667,NA,-0.291666666666667,NA,-4,0.5,NA,-2,NA,-69,0.233333333333333,NA,-34.5,NA,-308,0.144444444444444,NA,-12.8333333333333,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Low","High","Very High","Very High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Tamil Nadu",31,278,385,706,NA,25,NA,112,NA,15,NA,27,2844,1777,2880,2659,1884,1522,3320,2628,2794,2087,4045,3801,770,770,770,770,1412,1540,17325,10590,385,770,770,770,1412,1155,16170,9178,770,770,770,770,2118,1540,18865,11296,-745,0.0324675324675325,NA,-1.93506493506494,NA,-658,0.145454545454545,NA,-1.70909090909091,NA,-755,0.0194805194805195,NA,-1.96103896103896,NA,-743,0.0350649350649351,NA,-1.92987012987013,NA,365,1.25849858356941,1432,0.51699716713881,2.02832861189802,1119,1.72662337662338,1340,2.90649350649351,3.48051948051948,-15238,0.12046176046176,-14531,-39.5792207792208,-37.7428571428571,-6789,0.358923512747875,-6545,-9.61614730878187,-9.27053824362606,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","None","None","Very High","High",NA,NA,NA,NA,NA,NA,NA,NA,"Over sanctioning","Over sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"25","Telangana",6,37,85,NA,244,103,85,32,217,93,79,30,1254,1213,353,231,319,266,1421,681,1197,911,1350,1186,170,170,170,170,NA,340,3825,NA,85,170,170,170,NA,255,3570,NA,170,170,170,170,NA,340,4165,NA,-67,0.605882352941176,74,-0.788235294117647,0.870588235294118,-138,0.188235294117647,-85,-1.62352941176471,-1,-77,0.547058823529412,47,-0.905882352941176,0.552941176470588,-140,0.176470588235294,-91,-1.64705882352941,-1.07058823529412,NA,NA,NA,NA,NA,-109,0.679411764705882,13,-1.28235294117647,0.152941176470588,-2914,0.238169934640523,-2628,-34.2823529411765,-30.9176470588235,NA,NA,NA,NA,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage",NA,NA,"Shortage","Shortage","Shortage","Shortage",NA,NA,"Medium","Very High","Medium","Very High",NA,"Medium","Very High",NA,"Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning",NA,NA,"Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning",NA,NA
"26","Tripura",7,12,18,82,NA,1,NA,0,NA,1,NA,0,NA,216,NA,65,84,172,64,154,NA,149,NA,487,36,36,36,36,164,72,810,1230,18,36,36,36,164,54,756,1066,36,36,36,36,246,72,882,1312,-35,0.0277777777777778,NA,-1.94444444444444,NA,-36,0,NA,-2,NA,-35,0.0277777777777778,NA,-1.94444444444444,NA,-36,0,NA,-2,NA,52,1.31707317073171,NA,0.634146341463415,NA,-7,0.902777777777778,NA,-0.388888888888889,NA,-661,0.183950617283951,NA,-36.7222222222222,NA,-743,0.395934959349593,NA,-9.0609756097561,NA,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Surplus","Surplus","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","None","Low","Very High","High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Uttarakhand",18,18,67,243,68,4,73,4,71,7,72,12,476,269,115,180,380,257,305,231,313,268,79,61,134,134,134,134,486,268,3015,3645,67,134,134,134,486,201,2814,3159,134,134,134,134,729,268,3283,3888,-130,0.0298507462686567,-66,-1.94029850746269,-0.985074626865672,-130,0.0298507462686567,-61,-1.94029850746269,-0.91044776119403,-127,0.0522388059701493,-63,-1.8955223880597,-0.940298507462687,-122,0.0895522388059701,-62,-1.82089552238806,-0.925373134328358,-217,0.553497942386831,-10,-0.893004115226337,-0.0411522633744856,-88,0.671641791044776,-153,-1.3134328358209,-2.28358208955224,-2747,0.0888888888888889,-2702,-41,-40.3283582089552,-3584,0.0167352537722908,-3566,-14.7489711934156,-14.6748971193416,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","Medium","Very High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"28","Uttar Pradesh",157,0,679,1990,524,115,529,112,523,154,523,103,4509,3180,778,778,2671,1059,NA,NA,2211,17417,557,1087,1358,1358,1358,1358,3980,2716,30555,29850,679,1358,1358,1358,3980,2037,28518,25870,1358,1358,1358,1358,5970,2716,33271,31840,-1243,0.0846833578792342,-834,-1.83063328424153,-1.22827687776141,-1246,0.0824742268041237,-829,-1.83505154639175,-1.22091310751105,-1204,0.11340206185567,-835,-1.77319587628866,-1.22974963181149,-1255,0.0758468335787923,-835,-1.84830633284242,-1.22974963181149,-800,0.798994974874372,529,-0.402010050251256,0.265829145728643,-1938,0.286450662739323,-1938,-2.85419734904271,-2.85419734904271,-13138,0.570021273114057,-28344,-19.3490427098675,-41.7437407952872,-28763,0.0364154103852596,-29293,-14.4537688442211,-14.7201005025126,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Low","High","Medium","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"29","West Bengal",24,101,348,640,287,51,0,0,287,20,0,0,1326,810,1330,1099,1835,1275,5300,2039,4804,4125,2258,1686,696,696,696,696,1280,1392,15660,9600,348,696,696,696,1280,1044,14616,8320,696,696,696,696,1920,1392,17052,10240,-645,0.0732758620689655,-409,-1.85344827586207,-1.17528735632184,-696,0,-696,-2,-2,-676,0.028735632183908,-409,-1.94252873563218,-1.17528735632184,-696,0,-696,-2,-2,-470,0.6328125,46,-0.734375,0.071875,-293,0.789511494252874,-62,-0.841954022988506,-0.17816091954023,-11535,0.263409961685824,-10856,-33.1465517241379,-31.1954022988506,-7914,0.175625,-7342,-12.365625,-11.471875,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Medium","Low","High","Very High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Over sanctioning","Over sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"30","A& N Islands",3,0,4,22,3,0,3,0,0,0,3,0,42,34,13,0,76,50,NA,NA,96,90,103,103,8,8,8,8,44,16,180,330,4,8,8,8,44,12,168,286,8,8,8,8,66,16,196,352,-8,0,-5,-2,-1.25,-8,0,-5,-2,-1.25,-8,0,-8,-2,-2,-8,0,-5,-2,-1.25,-10,0.772727272727273,-2,-0.454545454545455,-0.0909090909090909,-16,0,-3,-4,-0.75,-90,0.5,-84,-22.5,-21,-227,0.312121212121212,-227,-10.3181818181818,-10.3181818181818,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Low","Very High","High","High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"31","Chandigarh",1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,1102,NA,31,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","D & N Haveli",1,1,2,6,0,0,0,0,0,0,0,0,12,12,4,4,191,88,62,17,17,17,34,34,4,4,4,4,12,8,90,90,2,4,4,4,12,6,84,78,4,4,4,4,18,8,98,96,-4,0,-4,-2,-2,-4,0,-4,-2,-2,-4,0,-4,-2,-2,-4,0,-4,-2,-2,0,1,0,0,0,-4,0.5,-4,-2,-2,-73,0.188888888888889,-73,-36.5,-36.5,-56,0.377777777777778,-56,-9.33333333333333,-9.33333333333333,"Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Balance","Balance","Shortage","Shortage","Shortage","Shortage","Shortage","Shortage","Very High","Very High","Very High","Very High","Normal","High","Very High","High","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Optimal sanctioning","Optimal sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning","Under sanctioning"
"33","Daman & Diu",2,0,NA,NA,0,0,0,0,0,0,0,0,8,3,0,0,72,47,0,0,0,0,18,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Delhi",47,9,NA,5,0,0,0,0,0,0,0,0,7,5,0,0,3121,2254,120,110,0,0,0,0,NA,NA,NA,NA,10,NA,NA,75,NA,NA,NA,NA,10,NA,NA,65,NA,NA,NA,NA,15,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,0.5,-3,-1,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-75,0,-75,-15,-15,NA,NA,NA,NA,NA,NA,NA,NA,"Shortage","Shortage",NA,NA,NA,NA,"Shortage","Shortage",NA,NA,NA,NA,"High",NA,NA,"Very High",NA,NA,NA,NA,NA,NA,NA,NA,"Under sanctioning","Under sanctioning",NA,NA,NA,NA,"Under sanctioning","Under sanctioning"
