S.NO,ST,AT,AR,AU,ATT,P_R,N_D,N_V,POR,POU,POT_2011,RUR_Per_2011,E_POR,E_POU,E_POT_2019,E_RUR_Per_2019,DPGR,PD11,DPGR_R,DPGR_U,DPGR_T,PD19_R,PD19_U,PD19_T,CBR_T,CBR_R,CBR_U,CDR_T,CDR_R,CDR_U,IMR_T,IMR_R,IMR_U,F_SC_R,F_SC_U,F_PHC_R,F_PHC_U,F_HWC_SC_R,F_HWC_SC_U,F_HWC_PHC_R,F_HWC_PHC_U,F_CHC_R,F_CHC_U,F_SDH,F_DH,F_MMU,F_MC,E_POTR,R_SC_HWCSC,P_SC_HWCSC,SH_SC_HWCSC,SH_SC_HWCSC_P,R_PHC_HWCPHC,P_PHC_HWCPHC,SH_PHC_HWCPHC,SH_PHC_HWCPHC_P,R_CHC,P_CHC,S_PHC,S_PHC_P,SC_HWCSC_GB,SC_HWCSC_RB,SC_HWCSC_RFP,SC_HWCSC_BUC,SC_HWCSC_BRC,PHC_HWCPHC_R_GB,PHC_HWCPHC_R_RB,PHC_HWCPHC_R_RFP,PHC_HWCPHC_R_BUC,PHC_HWCPHC_R_BRC,CHC_R_GB,CHC_R_RB,CHC_R_RFP,CHC_R_BUC,CHC_R_BRC,SDH_GB,SDH_RB,SDH_RFP,SDH_BUC,DH_GB,DH_RB,DH_RFP,DH_BUC,HWF_ANM_SC_R_R,HWF_ANM_SC_R_S,HWF_ANM_SC_R_P,HWF_ANM_SC_R_V,HWF_ANM_SC_R_SH,HWM_SC_R_R,HWM_SC_R_S,HWM_SC_R_P,HWM_SC_R_V,HWM_SC_R_SH,HWF_ANM_PHC_R_R,HWF_ANM_PHC_R_S,HWF_ANM_PHC_R_P,HWF_ANM_PHC_R_V,HWF_ANM_PHC_R_SH,HAF_LHV_PHC_R_R,HAF_LHV_PHC_R_S,HAF_LHV_PHC_R_P,HAF_LHV_PHC_R_V,HAF_LHV_PHC_R_SH,HAM_PHC_R_R,HAM_PHC_R_S,HAM_PHC_R_P,HAM_PHC_R_V,HAM_PHC_R_SH,DOC_PHC_R_R,DOC_PHC_R_S,DOC_PHC_R_P,DOC_PHC_R_V,DOC_PHC_R_SH,AY_DOC_PHC_R_S,AY_DOC_PHC_R_P,AY_DOC_PHC_R_V,AY_DOC_CHC_R_R,AY_DOC_CHC_R_S,AY_DOC_CHC_R_P,AY_DOC_CHC_R_V,AY_DOC_CHC_R_SH,DS_PHC_R_S,DS_PHC_R_P,DS_PHC_R_V,DS_CHC_R_R,DS_CHC_R_S,DS_CHC_R_P,DS_CHC_R_V,DS_CHC_R_SH,SUR_CHC_R_R,SUR_CHC_R_S,SUR_CHC_R_P,SUR_CHC_R_V,SUR_CHC_R_SH,OBGY_CHC_R_R,OBGY_CHC_R_S,OBGY_CHC_R_P,OBGY_CHC_R_V,OBGY_CHC_R_SH,PHY_CHC_R_R,PHY_CHC_R_S,PHY_CHC_R_P,PHY_CHC_R_V,PHY_CHC_R_SH,PAED_CHC_R_R,PAED_CHC_R_S,PAED_CHC_R_P,PAED_CHC_R_V,PAED_CHC_R_SH,TSP_CHC_R_R,TSP_CHC_R_S,TSP_CHC_R_P,TSP_CHC_R_V,TSP_CHC_R_SH,GDMO_AL_CHC_R_R,GDMO_AL_CHC_R_S,GDMO_AL_CHC_R_P,GDMO_AL_CHC_R_V,GDMO_AL_CHC_R_SH,RAD_CHC_R_R,RAD_CHC_R_S,RAD_CHC_R_P,RAD_CHC_R_V,RAD_CHC_R_SH,PHARMA_PHC_HWCPHC_R_R,PHARMA_PHC_HWCPHC_R_S,PHARMA_PHC_HWCPHC_R_P,PHARMA_PHC_HWCPHC_R_V,PHARMA_PHC_HWCPHC_R_SH,PHARMA_CHC_R_R,PHARMA_CHC_R_S,PHARMA_CHC_R_P,PHARMA_CHC_R_V,PHARMA_CHC_R_SH,LT_PHC_HWCPC_R_R,LT_PHC_HWCPC_R_S,LT_PHC_HWCPC_R_P,LT_PHC_HWCPC_R_V,LT_PHC_HWCPC_R_SH,LT_CHC_R_R,LT_CHC_R_S,LT_CHC_R_P,LT_CHC_R_V,LT_CHC_R_SH,NURSE_PHC_R_R,NURSE_PHC_R_S,NURSE_PHC_R_P,NURSE_PHC_R_V,NURSE_PHC_R_SH,NURSE_CHC_R_R,NURSE_CHC_R_S,NURSE_CHC_R_P,NURSE_CHC_R_V,NURSE_CHC_R_SH,ASHA_R,ASHA_P,DOC_DH_S,DOC_DH_P,DOC_SDH_S,DOC_SDH_P,PARAMED_DH_S,PARAMED_DH_P,PARAMED_SDH_S,PARAMED_SDH_P,ANM_SC_R_N,ANM_SC_R_P,ANM_L_SC_R_N,ANM_L_SC_R_P,F_SC_IPHS_R,SC_WO_RWS_R_N,SC_WO_RWS_R_P,SC_WO_ES_R_N,SC_WO_ES_R_P,SC_WO_MAR_R_N,SC_WO_MAR_R_P,F_PHC_247_R_N,F_PHC_247_R_P,PHC_W_LR_R_N,PHC_W_LR_R_P,PHC_W_OT_R_N,PHC_W_OT_R_P,PHC_W_4BED_R_N,PHC_W_4BED_R_P,PHC_WO_ES_R_N,PHC_WO_ES_R_P,PHC_WO_RWS_R_N,PHC_WO_RWS_R_P,PHC_WO_MAR_R_N,PHC_WO_MAR_R_P,PHC_W_TEL_R_N,PHC_W_TEL_R_P,PHC_W_COMP_R_N,PHC_W_COMP_R_P,PHC_RT_R,PHC_RRKS_R,F_PHC_IPHS_R,CHC_W_AFS_R,CFC_W_CSA_R,CFC_W_FL_R,CFC_W_FOT_R,CFC_W_FLR_R,CFC_W_FSUNB_R,CFC_W_NBCC_R,CFC_W_30BED,CFC_W_FXRAY_R,CFC_W_QSD_R,CFC_W_SDLQ_R,CFC_W_RT_R,CFC_W_RRKS_R,F_CHC_IPHS_R,CHC_RS_ALO_R,CHC_RS_AYUSH_R,FRU_TOTAL,FRU_PHC,FRU_CHC,FRU_SDH,FRU_DH,FRU_MC,FRU_W_30BED_N,FRU_W_30BED_P,FRU_W_OT_N,FRU_W_OT_P,FRU_W_LR_N,FRU_W_LR_P,FRU_W_BS_N,FRU_W_BS_P,SC_STOI_R,SC_TOIS_R,PHC_STOI_R,PHC_TOIS_R,CHC_STOI_R,CHC_TOIS_R,PHC_HWCPHC_U_R,PHC_HWCPHC_U_P,PHC_HWCPHC_U_SH,PHC_HWCPHC_U_SH_P,PHC_U_GB,PHC_U_RB,PHC_U_RFP,PHC_U_BUC,PHC_U_BRC,CHC_U_GB,CHC_U_RB,CHC_U_RFP,CHC_U_BUC,CHC_U_BRC,HWF_PHC_U_R,HWF_PHC_U_S,HWF_PHC_U_P,HWF_PHC_U_V,HWF_PHC_U_SH,DOC_PHC_U_R,DOC_PHC_U_S,DOC_PHC_U_P,DOC_PHC_U_V,DOC_PHC_U_SH,TSP_CHC_U_R,TSP_CHC_U_S,TSP_CHC_U_P,TSP_CHC_U_V,TSP_CHC_U_SH,GDMO_AL_CHC_U_R,GDMO_AL_CHC_U_S,GDMO_AL_CHC_U_P,GDMO_AL_CHC_U_V,GDMO_AL_CHC_U_SH,RAD_CHC_U_R,RAD_CHC_U_S,RAD_CHC_U_P,RAD_CHC_U_V,RAD_CHC_U_SH,PHARMA_PHC_HWCPHC_U_R,PHARMA_PHC_HWCPHC_U_S,PHARMA_PHC_HWCPHC_U_P,PHARMA_PHC_HWCPHC_U_V,PHARMA_PHC_HWCPHC_U_SH,PHARMA_CHC_U_R,PHARMA_CHC_U_S,PHARMA_CHC_U_P,PHARMA_CHC_U_V,PHARMA_CHC_U_SH,LT_PHC_HWCPC_U_R,LT_PHC_HWCPC_U_S,LT_PHC_HWCPC_U_P,LT_PHC_HWCPC_U_V,LT_PHC_HWCPC_U_SH,LT_CHC_U_R,LT_CHC_U_S,LT_CHC_U_P,LT_CHC_U_V,LT_CHC_U_SH,NURSE_PHC_U_R,NURSE_PHC_U_S,NURSE_PHC_U_P,NURSE_PHC_U_V,NURSE_PHC_U_SH,NURSE_CHC_U_R,NURSE_CHC_U_S,NURSE_CHC_U_P,NURSE_CHC_U_V,NURSE_CHC_U_SH,TS_ANM_HW,TS_LHV_HA,ANM_TO_LHV,RP_ANM,RP_LHV,HFWTC,MPW_M,POP_COV_SC_HWCSC_R,NO_ST_UT_SC_HWCSC_R,POP_COV_NAME_SC_HWCSC_R,AVG_RPC_SC_HWCSC_R,POP_COV_PHC_HWCPHC_R,NO_ST_UT_PHC_HWCPHC_R,POP_COV_NAME_PHC_HWCPHC_R,AVG_RPC_PHC_HWCPHC_R,POP_COV_CHC_R,NO_ST_UT_CHC_R,POP_COV_NAME_CHC_R,AVG_RPC_CHC_R,AVG_RPC_SC,AVG_RPC_PHC,AVG_RPC_CHC,AVG_RA_SC,AVG_RA_PHC,AVG_RA_CHC,AVG_RD_SC,AVG_RD_PHC,AVG_RD_CHC,AVG_VC_SC_HWCSC,AVG_VC_PHC_HWCPHC,AVG_VC_CHC,SC_TO_PHC,PHC_TO_CHC,HWM_SC_HWCSC_R,HAM_SC_HWCSC_R,HWM_TO_HAM_SC_HWCSC_R,AVG_RPC_HWM_SC_HWCSC_R,HWF_ANM_SC_PHC_R,HAF_LHV_SC_PHC_R,HWF_ANM_TO_HAF_LHV_SC_PHC_R,AVG_RPC_HWF_ANM_SC_PHC_R,F_R_AYUSH_PHC,F_U_AYUSH_PHC,SC_WO_HWF_ANM_R,SC_WO_HWM_R,SC_WO_HWF_HWM_R,PHC_W_4PLUS_DOC_R,PHC_W_3PLUS_DOC_R,PHC_W_2PLUS_DOC_R,PHC_W_1PLUS_DOC_R,PHC_WO_DOC_R,PHC_WO_LT_R,PHC_WO_PHARMA_R,PHC_W_LAD_R,F_HWCSC,HWF_ANM_HWCSC,HWM_HWCSC,MLHP_HWCSC,F_HWCPHC_R,HWF_ANM_HWCPHC_R,LHV_HWCPHC_R,HAM_HWCPHC_R,DOC_HWCPHC_R,AYUSH_DOC_HWCPHC_R,PHARMA_HWCPHC_R,LT_HWCPHC_R,NURSE_HWCPHC_R,F_HWCPHC_U,HWF_ANM_HWCPHC_U,HAM_HWCPHC_U,LHV_HWCPHC_U,DOC_HWCPHC_U,AYUSH_DOC_HWCPHC_U,PHARMA_HWCPHC_U,LT_HWCPHC_U,NURSE_HWCPHC_U,TABS_MPW_MLHP_HWCSC,HWCSC_W_IC,HWCSC_W_TELECONS,HWCSC_W_DSL,HWCSC_W_DBP_BMW,HWCSC_W_ELEC_BACK,HWCSC_W_WR,HWCSC_W_RSDCM,HWCPHC_W_LAP_MO_R,HWCPHC_W_TAB_ANM_R,HWCPHC_W_IC_R,HWCPHC_W_TELECONS_R,HWCPHC_W_WR_R,HWCPHC_W_FDP_R,HWCPHC_W_DBP_BWM_R,HWCPHC_W_LAP_MO_U,HWCPHC_W_TAB_ANM_U,HWCPHC_W_IC_U,HWCPHC_W_TELECONS_U,HWCPHC_W_WR_U,HWCPHC_W_FDP_U,HWCPHC_W_DBP_BWM_U,F_SC_T,F_PHC_T,F_HWCSC_T,F_HWCPHC_T,F_CHC_T,SC_HWCSC_T_R,SC_HWCSC_T_P,SC_HWCSC_T_SH,SC_HWCPHC_T_R,SC_HWCPHC_T_P,SC_HWCPHC_T_SH,CHC_T_R,CHC_T_P,CHC_T_SH,SC_HWCSC_T_GB,SC_HWCSC_T_RB,SC_HWCSC_T_RFP,SC_HWCSC_T_BUC,SC_HWCSC_T_BRC,PHC_HWCPHC_T_GB,PHC_HWCPHC_T_RB,PHC_HWCPHC_T_RFP,PHC_HWCPHC_T_BUC,PHC_HWCPHC_T_BRC,CHC_T_GB,CHC_T_RB,CHC_T_RFP,CHC_T_BUC,CHC_T_BRC,HWF_ANM_SC_T_R,HWF_ANM_SC_T_S,HWF_ANM_SC_T_P,HWF_ANM_SC_T_V,HWF_ANM_SC_T_SH,HWF_ANM_PHC_T_R,HWF_ANM_PHC_T_S,HWF_ANM_PHC_T_P,HWF_ANM_PHC_T_V,HWF_ANM_PHC_T_SH,HWM_ANM_SC_T_R,HWM_ANM_SC_T_S,HWM_ANM_SC_T_P,HWM_ANM_SC_T_V,HWM_ANM_SC_T_SH,MLHP_HWCSC_T_R,MLHP_HWCSC_T_S,MLHP_HWCSC_T_P,MLHP_HWCSC_T_V,MLHP_HWCSC_T_SH,HAF_LHV_PHC_T_R,HAF_LHV_PHC_T_S,HAF_LHV_PHC_T_P,HAF_LHV_PHC_T_V,HAF_LHV_PHC_T_SH,HAM_PHC_T_R,HAM_PHC_T_S,HAM_PHC_T_P,HAM_PHC_T_V,HAM_PHC_T_SH,DOC_PHC_T_R,DOC_PHC_T_S,DOC_PHC_T_P,DOC_PHC_T_V,DOC_PHC_T_SH,AY_DOC_PHC_T_S,AY_DOC_PHC_T_P,AY_DOC_PHC_T_V,AY_DOC_CHC_T_R,AY_DOC_CHC_T_S,AY_DOC_CHC_T_P,AY_DOC_CHC_T_V,AY_DOC_CHC_T_SH,DS_PHC_T_S,DS_PHC_T_P,DS_PHC_T_V,DS_CHC_T_R,DS_CHC_T_S,DS_CHC_T_P,DS_CHC_T_V,DS_CHC_T_SH,SUR_CHC_T_R,SUR_CHC_T_S,SUR_CHC_T_P,SUR_CHC_T_V,SUR_CHC_T_SH,OBGY_CHC_T_R,OBGY_CHC_T_S,OBGY_CHC_T_P,OBGY_CHC_T_V,OBGY_CHC_T_SH,PHY_CHC_T_R,PHY_CHC_T_S,PHY_CHC_T_P,PHY_CHC_T_V,PHY_CHC_T_SH,PAED_CHC_T_R,PAED_CHC_T_S,PAED_CHC_T_P,PAED_CHC_T_V,PAED_CHC_T_SH,TSP_CHC_T_R,TSP_CHC_T_S,TSP_CHC_T_P,TSP_CHC_T_V,TSP_CHC_T_SH,GDMO_AL_CHC_T_R,GDMO_AL_CHC_T_S,GDMO_AL_CHC_T_P,GDMO_AL_CHC_T_V,GDMO_AL_CHC_T_SH,RAD_CHC_T_R,RAD_CHC_T_S,RAD_CHC_T_P,RAD_CHC_T_V,RAD_CHC_T_SH,PHARMA_PHC_T_R,PHARMA_PHC_T_S,PHARMA_PHC_T_P,PHARMA_PHC_T_V,PHARMA_PHC_T_SH,PHARMA_CHC_T_R,PHARMA_CHC_T_S,PHARMA_CHC_T_P,PHARMA_CHC_T_V,PHARMA_CHC_T_SH,LT_PHC_T_R,LT_PHC_T_S,LT_PHC_T_P,LT_PHC_T_V,LT_PHC_T_SH,LT_CHC_T_R,LT_CHC_T_S,LT_CHC_T_P,LT_CHC_T_V,LT_CHC_T_SH,NURSE_PHC_T_R,NURSE_PHC_T_S,NURSE_PHC_T_P,NURSE_PHC_T_V,NURSE_PHC_T_SH,NURSE_CHC_T_R,NURSE_CHC_T_S,NURSE_CHC_T_P,NURSE_CHC_T_V,NURSE_CHC_T_SH
1,Andhra Pradesh*,14132,158856,4119,162975,97.47261849976991,13,17039,34776389,14610410,49386799,70.41636571748657,34380000,17935000,52315000,65.71728949632036,9,308.27251958428263,1.73,35.61,10.98,216.42242030518204,4354.212187424132,321.0001533977604,16.4,16.7,15.8,6.8,7.7,4.9,34,38,24,6825,21,0,121,612,0,1145,243,140,55,28,14,52,11,2266964.7144791256,7178,7437,,,1183,1145,38,3.212172442941674,295,140,155,52.54237288135593,1769,5668,0,4,5664,1145,0,0,42,,140,0,0,0,0.0,28,0,0,0,14,0,0,0,7437,14275,11815,2460,,7437,5014,2952,2062,4485,1145,0,0,0,1145,1145,1209,1123,86,22,1145,0,0,0,1145,1145,1862,1715,147,,116,61,55,140,9,9,0,131,21,20,1,280,4,4,0,276,140,22,17,5,123,140,126,102,24,38,140,46,36,10,104,140,101,82,19,58,560,295,237,58,323,280,356,263,93,17,140,91,40,51,100,1145,1194,907,287,238,140,139,109,30,31,1145,1031,733,298,412,140,125,84,41,56,1145,2132,1920,212,,980,1058,941,117,39,42209,42232,551,406,684,395,1671,1348,997,892,2321,34.00732600732601,2321,34.00732600732601,,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,5,140,140,140,140,59,140,140,55,0,0,140,140,0,140,45,240,0,198,28,14,0,205,85.41666666666667,239,99.58333333333334,238,99.16666666666667,118,49.16666666666667,0,7437,1145,1145,140,140,358.7,364,,,364,0,0,0,0,55,0,0,0,0.0,1820,784,751,33,1069,364,384,375,9,,220,173,140,33,80,110,85,65,20,45,55,53,28,25,27,364,258,78,180,286,55,78,50,28,5,364,39,30,9,334,55,69,47,22,8,364,103,97,6,267,385,666,561,105,,9,2,4.5,38.2,171.9,3,7,Less than 3000,11.0,Lakshadweep,285.7142857142857,Less than 10000,4.0,Lakshadweep,1000.0,Less than 1 lakh,13.0,Lakshadweep,1333.3333333333333,4622.831787010891,30026.200873362446,245571.42857142858,21.36022589753933,138.73886462882095,1134.6857142857143,2.606997413280923,6.644108984662984,19.0009569137021,2.291112007529918,14.88122270742358,121.70714285714286,6.495196506550219,8.178571428571429,2952,0,,11646.341463414634,11815,1123,10.520926090828139,2909.8603470165044,160,0,0,2437,0,0,0,0,0,0,0,0,0,1145,932,255.0,359,1145,0,1123.0,0.0,1715,61.0,907.0,733.0,1920,243,486,0.0,0.0,243,0.0,63.0,243.0,0,359,612,213,612,0,213,612,612,1145,1145,1145,0,1145,1145,1145,243,0,243,243,243,243,243,762,0,40,153,21,755,802,,113,153,,28,21,7,607,195,0,0,195,153,0,0,0,0,21,0,0,0,0,802,1493,1290,203,,153,0,0,0,153,802,640,417,223,385,40,106,40,66,0,153,129,97,32,56,153,0,0,0,153,153,287,273,14,,11,2,9,21,0,0,0,21,0,0,0,21,15,15,0,6,21,3,1,2,20,21,18,11,7,10,21,2,1,1,20,21,10,8,2,13,84,33,21,12,63,42,61,36,25,6,21,9,1,8,20,153,163,145,18,8,21,18,15,3,6,153,163,145,18,8,21,18,11,7,10,153,466,448,18,,147,136,116,20,31
2,Arunachal Pradesh,,,,83743,,22,5589,1066358,317369,1383727,77.064189684815,1133000,374000,1507000,75.18248175182481,26,16.52349450103292,6.249495947889921,17.843897797201365,8.908765963228296,,,17.99553395507684,18.9,19.5,16.1,6.2,6.5,4.5,36,38,23,307,0,101,4,78,0,42,0,63,0,0,17,16,1,839207.3937645707,338,385,,,51,143,,,12,63,,,385,0,0,0,0,143,0,0,0,0,63,0,0,0,0.0,0,,,,17,0,0,0,385,,477,,,385,,185,,200,143,,212,,,143,,17,,126,143,,81,,62,143,,116,,27,,58,,63,,56,,7,,6,,126,,30,,96,63,,1,,62,63,,3,,60,63,,0,,63,63,,0,,63,252,,4,,248,126,,115,,11,63,,17,,46,143,,55,,88,63,,46,,17,143,,50,,93,63,,63,,0,143,,166,,,441,,451,,,,3880,,699,,,,913,,,158,51.46579804560261,163,53.09446254071661,0,122,39.73941368078176,146,47.557003257328994,87,28.338762214983714,43,42.57425742574257,61,60.396039603960396,8,7.920792079207921,52,51.48514851485149,13,12.871287128712872,18,17.821782178217823,26,25.742574257425744,18,17.821782178217823,24,23.762376237623762,58,93,29,4,36,49,33,55,13,49,7,10,3,2,48,55,14,58,41,16,0,4,0,12,0,6,37.5,13,81.25,16,100,5,31.25,48,79,51,47,31,36,7.48,4,3.4800000000000004,46.524064171122994,4,0,0,0,0,0,0,0,0,0.0,20,0,9,,11,4,,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,3,,1,0,0,0,0,0,4,,4,,0,0,0,0,0,0,4,0,6,,,0,0,0,0,0,1,1,1,11.33,11.33,0,1,,,Daman & Diu,1478.2608695652175,,,Arunachal Pradesh,7923.076923076923,,,Arunachal Pradesh,17984.126984126986,2942.8571428571427,7923.076923076923,17984.126984126986,,,,,,,14.516883116883117,39.08391608391609,88.71428571428571,2.6923076923076925,2.2698412698412698,185,81,2.2839506172839505,6124.324324324324,689,17,40.529411764705884,1644.4121915820028,51,3,52,179,73,0,5,29,35,32,61,71,33,42,51,36.0,36,42,59,11.0,29.0,39,15.0,21.0,13.0,58,0,0,0.0,0.0,0,0.0,0.0,0.0,0,29,15,0,19,14,2,2,48,31,25,3,0,4,1,4,0,0,0,0,0,0,0,307,101,78,42,63,279,385,,41,143,,10,63,,385,0,0,0,0,143,0,0,0,0,63,0,0,0,0,385,,477,,,143,145,76,69,67,385,,185,,200,78,,36,,42,143,,200,,,143,,81,,62,143,,123,,20,,62,,63,,56,,7,,6,,63,,30,,33,63,,1,,62,63,,3,,60,63,,0,,63,63,,0,,63,252,,4,,248,126,,115,,11,63,,17,,46,143,,58,,85,63,,46,,17,143,,54,,89,63,,63,,0,143,,172,,,441,,451,,
3,Assam,18549.42,31602.79,2288.03,45294.26,69.77217422251738,27,26395,26807034,4398542,31205576,85.90462807031668,29208000,5202000,34410000,84.8823016564952,17.1,397.837476733216,8.95647761703141,18.26646193215843,10.268754532843746,924.2221968376842,2273.571587785125,759.6989110761496,21.7,22.8,15,6.7,7.1,4.9,44,46,22,4015,19,698,6,628,0,248,49,177,2,14,25,145,6,3993696.17839855,6374,4643,1731,27.157201129588955,1040,946,94,9.038461538461538,260,177,83,31.923076923076923,4049,466,128,0,594,946,0,0,0,0,177,0,0,0,0.0,14,0,0,0,25,0,0,0,4643,,9010,,,4643,,3080,,1563,946,,2492,,,946,,252,,694,946,,0,,946,946,,1925,,,,926,,177,,86,,91,,161,,354,,56,,298,177,,6,,171,177,,82,,95,177,,6,,171,177,,42,,135,708,,136,,572,354,,462,,,177,,90,,87,946,,1540,,,177,,239,,,946,,1163,,,177,,246,,,946,,2177,,,1239,,1192,,47,,32453,,774,,423,,2818,,851,2114,52.65255292652553,,,0,491,12.229140722291408,2503,62.3412204234122,,,310,44.41260744985673,556,79.65616045845272,42,6.017191977077363,267,38.25214899713467,47,6.733524355300859,8,1.146131805157593,74,10.601719197707736,296,42.40687679083094,625,89.54154727793696,652,698,5,0,141,174,170,176,172,176,89,86,96,,160,177,8,172,108,80,0,37,11,26,6,80,100,80,100,80,100,39,48.75,1479,0,878,0,176,0,104.04,55,49.040000000000006,47.13571703191081,55,0,0,0,0,2,0,0,0,0.0,275,,211,,64,55,,43,,12,8,,9,,,4,,8,,,2,,1,,1,55,,36,,19,2,,5,,,55,,35,,20,2,,6,,,55,,101,,,14,,39,,,18,1,18,16.226666666666667,292.08,1,0,,,Mizoram,1478.3783783783783,,,Daman & Diu,8500.0,,,Kerala,50709.251101321584,6290.7602842989445,30875.26427061311,165016.94915254237,6.806545337066552,33.40675475687104,178.5468361581921,1.4716381929281437,3.2602794309836898,7.537264554161858,5.684902003015292,27.90169133192389,149.12429378531073,4.908033826638478,5.344632768361582,3080,0,,9483.116883116883,11502,252,45.642857142857146,2539.3844548774127,432,10,,1959,,68,104,111,415,0,131,47,,248,1338,428.0,671,248,122,32.0,0.0,139,38.0,99.0,99.0,161,49,15,0.0,0.0,3,0.0,4.0,3.0,6,16,16,16,628,340,285,,628,14,,14,14,,,218,,,,,,,36,664,131,114,50,27,1331,778,553,199,181,18,49,27,22,725,43,10,0,53,181,0,0,0,0,27,0,0,0,0,778,,1402,,,181,,415,,,778,,345,,433,114,,115,,,181,,22,,159,181,,11,,170,181,,336,,,,205,,27,,20,,7,,26,,27,,11,,16,27,,0,,27,27,,2,,25,27,,3,,24,27,,0,,27,108,,5,,103,54,,81,,,27,25,19,6,8,181,,273,,,27,,42,,,181,,230,,,27,,49,,,181,,380,,,189,,199,,
4,Bihar,,92257.51,1095.49,94163,97.97639200110446,38,44874,92341436,11758016,104099452,88.70501642986555,105717000,14397000,120114000,88.01388680753284,25.4,1105.5239531450782,14.484899281834862,22.44412662816584,15.383892702912597,1145.8904537961191,13142.064281736939,1275.5965719019148,26.8,27.7,21.1,6,6.1,5.5,38,39,29,9865,0,1480,0,84,0,419,95,150,0,55,36,0,9,1454932.4873721912,21337,9949,11388,53.3720766743216,3548,1899,1649,46.47688838782413,887,150,737,83.08906426155582,5643,3277,1029,45,4261,1493,384,22,45,361,150,0,0,0,0.0,55,0,0,0,36,0,0,0,9949,,20570,,,9949,,1244,,8705,1899,,3658,,,1899,,95,,1804,1899,,212,,1687,1899,,2085,,,,1803,,150,,9,,141,,,,300,,,,,150,,13,,137,150,,30,,120,150,,8,,142,150,,31,,119,600,,82,,518,300,,714,,,150,,1,,149,1899,,235,,1664,150,,52,,98,1899,,453,,1446,150,,158,,,1899,,1296,,603,1050,,334,,716,104239,89439,888,1301,55,286,,1916,,288,1302,13.198175367460719,113,1.1454637607704004,,4875,49.41713127217435,6364,64.51089711099847,,,795,53.71621621621621,795,53.71621621621622,496,33.51351351351351,795,53.71621621621621,0,0,0,0,0,0,533,36.01351351351351,783,52.9054054054054,496,1480,,24,150,150,150,150,,51,150,150,28,24,150,68,,150,,150,0,68,46,36,0,150,100,150,100,150,100,68,45.333333333333336,3742,2554,375,272,0,0,287.94,95,192.94,67.00701535042023,0,0,0,236,,0,0,0,0,0.0,475,,95,,380,95,,95,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,,149,,,0,0,0,0,0,95,0,0,0,95,0,0,0,0,0,95,,155,,,0,0,0,0,0,22,0,-,48.05318181818182,-,3,0,,,A& N Islands,1854.8387096774193,,,Mizoram,9271.186440677966,,,A& N Islands,57500.0,10625.892049452206,55669.82622432859,704780,9.273043521962006,48.582153765139545,615.0500666666667,1.7177059841244664,3.931660974216974,13.989201138194007,4.510403055583476,23.630331753554504,299.16,5.239073196419168,12.66,1244,212,5.867924528301887,84981.5112540193,24228,95,255.03157894736842,4363.422486379396,1819,0,354,3325,323,439,41,56,944,0,256,201,156,419,419,,419,419,419,,,299,419.0,,,419,95,95,0.0,,95,0.0,149.0,,155,84,84,0,0,0,49,,84,,419,419,0,,,0,0,0,95,0,,,,,,,,,484,,,72,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
